道路编号	县区	道路等级	速度
2911	10县区	支路	27.62956398
2912	10县区	支路	22.96433136
2913	10县区	支路	26.71850113
2914	10县区	快速路	103.8218487
2915	10县区	快速路	105.5492809
2916	10县区	支路	21.8443182
2917	11县区	主干路	75.77450631
2918	10县区	快速路	113.9799139
2919	11县区	次干路	30.40119052
2920	10县区	支路	25.21277624
2921	10县区	快速路	109.3608542
2922	11县区	快速路	85.32862628
2923	科技县	主干路	79.60586182
2924	11县区	次干路	40.14763755
2925	科技县	次干路	43.7849619
2926	科技县	快速路	90.88014159
2927	科技县	快速路	80.85296053
2928	10县区	快速路	92.43088205
2929	09县区	次干路	40.52397596
2930	09县区	快速路	118.2285959
2931	11县区	次干路	30.77313124
2932	11县区	快速路	99.15596539
2933	科技县	快速路	114.7410993
2934	10县区	快速路	100.5954161
2935	10县区	支路	21.37496379
2936	10县区	快速路	84.51933669
2937	科技县	主干路	63.38652893
2938	09县区	主干路	56.55372868
2939	09县区	支路	25.00449078
2940	10县区	次干路	37.70389167
2941	10县区	支路	25.78420306
2942	科技县	主干路	68.7802144
2943	11县区	次干路	44.10085146
2944	科技县	次干路	45.02513724
2945	09县区	次干路	37.53158494
2946	09县区	次干路	34.87937617
2947	10县区	快速路	114.2230382
2948	10县区	快速路	114.7441186
2949	科技县	次干路	46.33523951
2950	09县区	支路	21.08638088
2951	10县区	支路	29.17284948
2952	11县区	支路	28.62892253
2953	10县区	次干路	41.9915277
2954	10县区	快速路	81.37827861
2955	10县区	快速路	119.7417448
2956	11县区	次干路	42.22344997
2957	09县区	快速路	82.74663395
2958	科技县	主干路	54.70846127
2959	11县区	支路	29.75554102
2960	09县区	快速路	82.63641855
2961	11县区	支路	23.94329693
2962	10县区	次干路	39.69238145
2963	10县区	支路	23.91143302
2964	10县区	支路	26.83060199
2965	科技县	支路	21.22853916
2966	09县区	快速路	114.4769467
2967	科技县	次干路	30.52561087
2968	10县区	快速路	86.12616946
2969	科技县	次干路	49.24456514
2970	09县区	主干路	77.27851141
2971	11县区	支路	24.72840809
2972	科技县	支路	20.82597574
2973	11县区	快速路	93.81263058
2974	11县区	快速路	116.0057334
2975	10县区	次干路	44.87266869
2976	09县区	次干路	33.76841525
2977	11县区	次干路	44.17201422
2978	11县区	快速路	114.9208693
2979	09县区	次干路	36.5287742
2980	11县区	快速路	97.53900985
2981	科技县	支路	25.48731275
2982	11县区	主干路	79.16335261
2983	09县区	支路	22.43111421
2984	09县区	次干路	39.53358387
2985	11县区	主干路	66.86750173
2986	11县区	主干路	70.33630186
2987	09县区	主干路	75.66214926
2988	11县区	主干路	64.56391608
2989	10县区	主干路	52.53358133
2990	科技县	快速路	103.0170164
2991	11县区	次干路	40.14243661
2992	09县区	快速路	102.8793496
2993	11县区	支路	20.06187937
2994	11县区	主干路	58.87122863
2995	10县区	次干路	32.21362002
2996	09县区	次干路	45.83717127
2997	科技县	次干路	48.61161556
2998	09县区	快速路	93.16649836
2999	10县区	主干路	59.51286634
3000	11县区	主干路	72.12153515
3001	10县区	支路	23.07454605
3002	科技县	支路	21.07949967
3003	10县区	支路	21.87139568
3004	09县区	次干路	47.5216027
3005	11县区	主干路	70.37329357
3006	科技县	主干路	64.62459297
3007	科技县	次干路	31.77280793
3008	10县区	次干路	43.5397415
3009	09县区	快速路	81.81217518
3010	10县区	主干路	52.9370859
3011	11县区	主干路	78.10788387
3012	11县区	快速路	106.9737621
3013	10县区	支路	24.13115551
3014	科技县	快速路	102.9723268
3015	11县区	主干路	76.3799508
3016	11县区	主干路	67.10764936
3017	科技县	主干路	53.72487759
3018	科技县	支路	23.03170845
3019	10县区	快速路	115.9183998
3020	科技县	支路	24.56376254
3021	09县区	支路	23.07598839
3022	11县区	支路	25.41231952
3023	10县区	主干路	71.70746413
3024	11县区	主干路	56.82872312
3025	科技县	次干路	38.64844222
3026	11县区	主干路	67.45295092
3027	09县区	快速路	89.27081371
3028	10县区	快速路	109.7904565
3029	11县区	支路	21.67456736
3030	科技县	支路	27.55748245
3031	09县区	支路	22.65653722
3032	09县区	主干路	58.25460926
3033	09县区	快速路	83.30384634
3034	科技县	主干路	69.68668279
3035	科技县	主干路	66.88637131
3036	09县区	次干路	36.45977968
3037	09县区	快速路	82.31908383
3038	10县区	次干路	34.29790481
3039	11县区	次干路	41.56981692
3040	10县区	快速路	112.6147434
3041	11县区	快速路	112.2795359
3042	09县区	主干路	68.44354767
3043	10县区	主干路	65.2620661
3044	11县区	次干路	46.93769781
3045	11县区	快速路	94.71781162
3046	11县区	快速路	112.461173
3047	科技县	支路	26.8950716
3048	10县区	主干路	68.27582119
3049	09县区	支路	22.32791285
3050	10县区	快速路	80.25836231
3051	科技县	快速路	99.30971784
3052	10县区	主干路	54.03113258
3053	11县区	支路	26.97524103
3054	09县区	主干路	69.03823589
3055	10县区	主干路	57.72758995
3056	09县区	快速路	109.5502596
3057	10县区	快速路	117.7670755
3058	10县区	快速路	108.8623969
3059	科技县	快速路	86.54722201
3060	10县区	次干路	31.19055494
3061	09县区	支路	25.76252695
3062	科技县	次干路	33.21354168
3063	11县区	支路	21.27621065
3064	11县区	快速路	94.45020876
3065	科技县	支路	24.49716811
3066	10县区	快速路	90.80596404
3067	科技县	快速路	116.6527138
3068	09县区	次干路	49.20691656
3069	11县区	支路	24.17923773
3070	10县区	支路	22.00863987
3071	科技县	快速路	100.8979862
3072	09县区	支路	24.29584096
3073	科技县	主干路	60.06555037
3074	11县区	次干路	44.00590236
3075	10县区	次干路	33.70159703
3076	09县区	主干路	51.96138741
3077	10县区	次干路	33.87226118
3078	科技县	次干路	40.14733868
3079	09县区	主干路	56.57053097
3080	09县区	支路	29.71676267
3081	09县区	支路	25.16188212
3082	10县区	主干路	55.95219756
3083	科技县	主干路	57.31888424
3084	科技县	次干路	33.04331197
3085	11县区	快速路	99.16696089
3086	11县区	主干路	77.76405028
3087	科技县	快速路	85.36466182
3088	10县区	支路	25.8676107
3089	09县区	支路	23.71165043
3090	11县区	支路	24.21005102
3091	10县区	主干路	68.80830057
3092	11县区	快速路	116.0418913
3093	10县区	主干路	61.63194998
3094	09县区	快速路	102.2926116
3095	10县区	主干路	54.29603672
3096	科技县	次干路	36.08455277
3097	09县区	主干路	79.24140432
3098	11县区	快速路	119.2454319
3099	11县区	次干路	41.92734303
3100	09县区	次干路	42.72670703
3101	09县区	支路	26.2331128
3102	10县区	主干路	55.59781339
3103	科技县	支路	27.86591758
3104	11县区	主干路	67.86899254
3105	科技县	主干路	67.16737705
3106	11县区	主干路	57.38012865
3107	10县区	次干路	37.51030255
3108	科技县	支路	20.99582729
3109	10县区	支路	29.14808129
3110	10县区	快速路	86.50628132
3111	11县区	快速路	103.8613929
3112	10县区	次干路	34.6099405
3113	09县区	支路	20.40773851
3114	11县区	主干路	74.19809154
3115	10县区	快速路	80.33304354
3116	09县区	主干路	61.97001586
3117	科技县	主干路	70.9570441
3118	11县区	次干路	45.8098901
3119	09县区	快速路	118.4515608
3120	10县区	主干路	72.07903236
3121	09县区	主干路	78.93222441
3122	科技县	快速路	83.48012931
3123	10县区	主干路	60.76287702
3124	科技县	支路	20.39201247
3125	10县区	支路	27.84631395
3126	11县区	快速路	107.545897
3127	科技县	次干路	44.95638352
3128	10县区	主干路	79.01887257
3129	11县区	次干路	30.86335845
3130	11县区	次干路	42.97573165
3131	科技县	快速路	105.1565619
3132	09县区	次干路	39.82222694
3133	10县区	主干路	63.46863294
3134	10县区	快速路	80.39557533
3135	11县区	支路	22.74322746
3136	09县区	次干路	47.67877507
3137	11县区	主干路	51.05596067
3138	11县区	主干路	76.37067858
3139	09县区	次干路	42.08258445
3140	09县区	次干路	44.43085807
3141	09县区	快速路	102.3558468
3142	10县区	次干路	30.26179803
3143	11县区	支路	26.42950737
3144	11县区	主干路	70.77892242
3145	11县区	支路	27.48477937
3146	11县区	支路	22.86507434
3147	09县区	支路	21.85469119
3148	10县区	次干路	33.50444264
3149	科技县	支路	21.18039604
3150	10县区	支路	26.99078403
3151	科技县	主干路	63.06624301
3152	11县区	次干路	40.2219777
3153	科技县	支路	22.24409444
3154	10县区	主干路	58.54799577
3155	09县区	快速路	109.189594
3156	10县区	次干路	31.66809022
3157	科技县	支路	28.67619251
3158	10县区	支路	24.96146989
3159	科技县	次干路	38.56765681
3160	09县区	主干路	59.41050159
3161	10县区	支路	27.2379485
3162	科技县	支路	20.40608331
3163	09县区	快速路	114.5410545
3164	11县区	快速路	108.9719225
3165	科技县	支路	23.8004886
3166	10县区	快速路	113.9827424
3167	10县区	次干路	45.38190914
3168	09县区	支路	28.48144384
3169	11县区	次干路	45.62633117
3170	09县区	次干路	49.7351467
3171	10县区	次干路	42.38622293
3172	科技县	支路	22.00999066
3173	11县区	支路	28.78243847
3174	09县区	主干路	73.5504822
3175	11县区	快速路	97.93656159
3176	科技县	次干路	31.67353249
3177	09县区	支路	21.8186541
3178	11县区	支路	23.65847535
3179	10县区	快速路	80.37267449
3180	科技县	快速路	109.7530078
3181	11县区	快速路	99.24567752
3182	11县区	主干路	70.95156273
3183	10县区	主干路	75.27374656
3184	科技县	次干路	31.05980107
3185	09县区	支路	24.665434
3186	科技县	支路	25.77331475
3187	11县区	快速路	83.5431609
3188	科技县	快速路	104.7158876
3189	10县区	支路	20.77749859
3190	科技县	次干路	46.56247022
3191	11县区	支路	23.45094511
3192	科技县	快速路	97.78538524
3193	科技县	主干路	78.08676473
3194	09县区	快速路	105.7185218
3195	11县区	快速路	103.0826264
3196	10县区	主干路	79.81586952
3197	10县区	快速路	114.2053132
3198	11县区	主干路	66.98717861
3199	09县区	主干路	59.75329538
3200	09县区	快速路	114.2489897
3201	科技县	支路	28.67263653
3202	科技县	快速路	103.907251
3203	科技县	支路	25.52940805
3204	11县区	主干路	74.84155432
3205	科技县	快速路	104.009834
3206	09县区	快速路	86.65732617
3207	科技县	次干路	33.89692482
3208	10县区	支路	24.4419882
3209	10县区	支路	25.31282977
3210	科技县	支路	20.46682439
3211	科技县	快速路	116.2201681
3212	09县区	主干路	65.15371489
3213	11县区	主干路	72.65052492
3214	10县区	次干路	47.05888867
3215	11县区	主干路	76.16416
3216	09县区	支路	23.24703687
3217	10县区	快速路	114.4786962
3218	10县区	快速路	116.3314134
3219	科技县	次干路	34.68094169
3220	11县区	快速路	93.89081226
3221	10县区	次干路	33.14678275
3222	11县区	快速路	117.5121407
3223	10县区	主干路	58.30543945
3224	10县区	次干路	31.4918351
3225	11县区	快速路	91.33262828
3226	11县区	次干路	34.41793295
3227	10县区	快速路	99.51108593
3228	10县区	次干路	47.98239484
3229	10县区	主干路	70.56639373
3230	11县区	主干路	66.18139385
3231	11县区	支路	27.74352615
3232	09县区	次干路	33.79331711
3233	09县区	快速路	113.2810919
3234	09县区	快速路	104.259215
3235	10县区	次干路	34.07025894
3236	09县区	主干路	72.00545625
3237	10县区	快速路	89.07225627
3238	科技县	次干路	33.58006846
3239	10县区	支路	21.06612286
3240	科技县	快速路	100.1249217
3241	科技县	主干路	78.89445809
3242	10县区	主干路	50.41878782
3243	09县区	支路	23.9492858
3244	09县区	次干路	48.31779188
3245	10县区	主干路	51.83587201
3246	11县区	快速路	84.61042151
3247	10县区	快速路	116.0674118
3248	科技县	次干路	48.8914549
3249	科技县	支路	27.85750522
3250	11县区	快速路	110.4877184
3251	09县区	次干路	37.63053966
3252	10县区	支路	27.63449038
3253	10县区	快速路	92.44515618
3254	10县区	快速路	104.0830905
3255	科技县	快速路	109.2966721
3256	09县区	主干路	75.99447225
3257	09县区	快速路	104.7829336
3258	科技县	快速路	102.3181491
3259	10县区	主干路	61.92028154
3260	10县区	快速路	119.7873012
3261	11县区	次干路	45.91716187
3262	10县区	次干路	48.12195108
3263	10县区	快速路	118.420372
3264	11县区	快速路	82.6424288
3265	10县区	快速路	94.72949381
3266	11县区	支路	26.20995712
3267	10县区	快速路	101.7204106
3268	09县区	支路	25.63501509
3269	09县区	主干路	52.0812349
3270	11县区	次干路	45.52949711
3271	09县区	主干路	68.4285168
3272	09县区	支路	24.42523177
3273	11县区	主干路	62.7556368
3274	科技县	快速路	119.2751519
3275	09县区	主干路	72.88702226
3276	11县区	支路	23.81212113
3277	科技县	次干路	34.10350205
3278	科技县	次干路	42.87628561
3279	10县区	快速路	86.97402045
3280	11县区	支路	28.90060069
3281	11县区	次干路	36.37793286
3282	11县区	快速路	89.03584712
3283	09县区	主干路	50.91871738
3284	11县区	主干路	63.43486163
3285	09县区	支路	20.95388539
3286	10县区	主干路	50.87368588
3287	10县区	次干路	39.0485626
3288	11县区	快速路	82.82262719
3289	科技县	主干路	76.96042078
3290	科技县	快速路	102.5848852
3291	科技县	支路	21.48991865
3292	科技县	支路	20.08360917
3293	09县区	快速路	112.2016496
3294	11县区	主干路	68.92459689
3295	10县区	次干路	31.0501103
3296	10县区	支路	28.36432542
3297	10县区	主干路	50.64002027
3298	10县区	次干路	46.76872234
3299	09县区	快速路	89.10528758
3300	10县区	快速路	105.8927277
3301	科技县	快速路	111.9936523
3302	10县区	支路	26.33950414
3303	科技县	次干路	33.0448786
3304	11县区	快速路	110.6512445
3305	09县区	主干路	73.49635578
3306	11县区	主干路	78.62630234
3307	10县区	快速路	97.53472414
3308	10县区	支路	21.01740103
3309	09县区	次干路	39.52233329
3310	科技县	快速路	91.24493074
3311	11县区	次干路	48.585347
3312	科技县	快速路	94.02492055
3313	10县区	快速路	87.58224891
3314	11县区	支路	22.32799782
3315	10县区	主干路	51.69666803
3316	10县区	支路	23.41259897
3317	09县区	支路	22.2605521
3318	09县区	快速路	108.0610192
3319	09县区	支路	21.59491689
3320	科技县	快速路	82.3143777
3321	科技县	主干路	74.25530556
3322	10县区	支路	27.08131566
3323	09县区	支路	25.92878954
3324	09县区	次干路	46.49826326
3325	09县区	快速路	95.96254401
3326	10县区	支路	23.80319954
3327	科技县	支路	28.45792112
3328	科技县	次干路	42.40419532
3329	科技县	快速路	95.57217173
3330	11县区	快速路	100.8724292
3331	09县区	次干路	46.4327846
3332	10县区	支路	28.23449144
3333	科技县	主干路	58.71618141
3334	10县区	支路	26.0889048
3335	11县区	次干路	48.44380138
3336	11县区	次干路	34.65912454
3337	09县区	支路	24.40959027
3338	11县区	快速路	101.1545225
3339	科技县	次干路	36.07365953
3340	11县区	次干路	32.17515879
3341	09县区	主干路	74.41179162
3342	09县区	主干路	65.17922483
3343	11县区	主干路	55.67150437
3344	11县区	支路	26.85499269
3345	10县区	快速路	117.0857396
3346	11县区	快速路	112.1323277
3347	11县区	次干路	47.82388442
3348	科技县	快速路	115.0013542
3349	09县区	快速路	94.80167433
3350	11县区	次干路	36.79575552
3351	10县区	支路	29.6565853
3352	09县区	快速路	87.48613862
3353	11县区	次干路	45.32185723
3354	11县区	快速路	96.1710327
3355	09县区	次干路	44.18530919
3356	09县区	主干路	50.53725346
3357	09县区	支路	27.02403563
3358	科技县	次干路	40.07462457
3359	科技县	次干路	43.03258685
3360	10县区	快速路	110.2824389
3361	11县区	快速路	84.07262943
3362	09县区	支路	21.3509903
3363	科技县	次干路	42.76149258
3364	09县区	主干路	69.1481024
3365	科技县	快速路	84.45263682
3366	科技县	主干路	66.71486725
3367	09县区	快速路	119.8919818
3368	09县区	支路	26.39901129
3369	10县区	快速路	108.601473
3370	10县区	快速路	80.96382312
3371	09县区	快速路	116.7597685
3372	11县区	次干路	45.70310308
3373	09县区	主干路	63.89071892
3374	10县区	主干路	62.89297855
3375	11县区	次干路	41.39070604
3376	09县区	次干路	46.17585923
3377	科技县	次干路	38.0346874
3378	科技县	支路	28.99348304
3379	11县区	支路	27.00389972
3380	10县区	支路	20.4107436
3381	科技县	支路	21.539895
3382	科技县	次干路	38.3924049
3383	科技县	快速路	113.8065522
3384	11县区	主干路	77.61246109
3385	10县区	主干路	51.03180176
3386	11县区	主干路	50.06246414
3387	09县区	快速路	93.66646449
3388	10县区	支路	21.4261552
3389	11县区	次干路	40.378297
3390	科技县	支路	23.28214121
3391	11县区	主干路	52.51727518
3392	10县区	次干路	40.57233516
3393	11县区	支路	23.14426965
3394	科技县	次干路	45.41811198
3395	11县区	支路	20.25066387
3396	11县区	快速路	102.1108538
3397	09县区	主干路	54.4581075
3398	科技县	主干路	70.45196912
3399	10县区	快速路	104.7158913
3400	09县区	支路	27.49992299
3401	11县区	支路	29.52864528
3402	10县区	次干路	43.91254318
3403	科技县	支路	28.1625071
3404	科技县	次干路	30.5134824
3405	09县区	主干路	66.4356161
3406	10县区	次干路	44.24627229
3407	10县区	次干路	31.3108842
3408	09县区	支路	27.31284077
3409	科技县	次干路	34.26959024
3410	09县区	支路	28.11778107
3411	09县区	主干路	62.99820428
3412	10县区	主干路	76.90596392
3413	09县区	快速路	99.96605708
3414	09县区	支路	23.20454823
3415	11县区	次干路	36.56649221
3416	10县区	次干路	45.60221257
3417	09县区	次干路	31.58562037
3418	科技县	次干路	45.1772722
3419	10县区	次干路	47.20623748
3420	科技县	次干路	42.07176832
3421	11县区	主干路	56.72613632
3422	09县区	快速路	82.9630447
3423	科技县	支路	29.56629113
3424	10县区	快速路	86.13704991
3425	09县区	支路	24.21130104
3426	11县区	快速路	86.56025094
3427	10县区	主干路	77.1373194
3428	10县区	支路	28.99478895
3429	09县区	支路	24.44219088
3430	09县区	支路	21.43117323
3431	11县区	支路	21.05401298
3432	科技县	支路	20.76895564
3433	09县区	主干路	56.32175895
3434	09县区	次干路	35.94917285
3435	11县区	主干路	78.88289583
3436	09县区	快速路	115.9032195
3437	11县区	快速路	105.2816947
3438	11县区	次干路	30.46789579
3439	10县区	主干路	75.68447268
3440	09县区	快速路	84.96257048
3441	科技县	支路	23.75496454
3442	11县区	支路	28.8875969
3443	科技县	主干路	63.49799892
3444	10县区	快速路	93.63728692
3445	11县区	主干路	55.48005661
3446	09县区	主干路	57.1477759
3447	09县区	主干路	62.23772433
3448	科技县	快速路	109.9489116
3449	11县区	主干路	59.42650977
3450	科技县	快速路	103.2772106
3451	09县区	快速路	112.587422
3452	10县区	次干路	32.77811588
3453	11县区	快速路	102.7294367
3454	10县区	主干路	63.23791853
3455	09县区	次干路	49.1718122
3456	09县区	主干路	71.51038192
3457	10县区	次干路	41.39625298
3458	科技县	快速路	80.5035959
3459	科技县	快速路	86.92224818
3460	09县区	次干路	35.09446625
3461	科技县	次干路	42.31635704
3462	11县区	次干路	45.03736295
3463	科技县	快速路	110.1717641
3464	10县区	主干路	50.41996955
3465	科技县	主干路	53.11227105
3466	科技县	支路	29.05743769
3467	11县区	主干路	58.00829543
3468	09县区	次干路	44.06614905
3469	10县区	次干路	46.21124679
3470	09县区	支路	28.12319579
3471	科技县	主干路	77.24327955
3472	11县区	次干路	37.75690119
3473	09县区	快速路	84.20147545
3474	10县区	主干路	78.42694045
3475	09县区	次干路	30.14573708
3476	11县区	支路	27.45228728
3477	11县区	主干路	53.83003972
3478	11县区	快速路	115.2258864
3479	10县区	主干路	64.84395359
3480	11县区	次干路	45.86029818
3481	09县区	主干路	53.41745947
3482	11县区	快速路	108.5782689
3483	11县区	快速路	99.58783418
3484	科技县	支路	28.11950561
3485	科技县	快速路	114.1763936
3486	09县区	支路	26.08245676
3487	10县区	次干路	37.8882924
3488	10县区	次干路	44.37513948
3489	11县区	快速路	95.86894833
3490	09县区	次干路	46.18728676
3491	10县区	主干路	54.04131364
3492	科技县	主干路	62.28212546
3493	11县区	支路	22.82628269
3494	09县区	支路	25.48391292
3495	11县区	支路	21.97271098
3496	11县区	主干路	78.23498482
3497	09县区	快速路	95.3990017
3498	科技县	主干路	61.18887437
3499	科技县	支路	24.67720309
3500	11县区	快速路	96.73423672
3501	10县区	次干路	44.70973308
3502	09县区	次干路	46.40056632
3503	09县区	主干路	50.68891387
3504	09县区	次干路	47.37556689
3505	10县区	快速路	107.1475172
3506	11县区	支路	29.17756653
3507	09县区	快速路	115.1872186
3508	11县区	支路	27.92805385
3509	11县区	主干路	61.53388442
3510	09县区	快速路	117.8871112
3511	11县区	主干路	77.58347834
3512	10县区	快速路	91.82776138
3513	10县区	快速路	87.55572803
3514	11县区	次干路	34.51593719
3515	09县区	支路	23.92092397
3516	科技县	主干路	50.36018321
3517	09县区	次干路	44.03334729
3518	10县区	支路	28.5052698
3519	10县区	次干路	44.25934543
3520	10县区	次干路	35.11547685
3521	科技县	主干路	61.66631748
3522	科技县	主干路	57.5667
3523	10县区	支路	24.86775035
3524	科技县	主干路	52.33536752
3525	11县区	主干路	63.59541978
3526	10县区	支路	20.89357075
3527	10县区	主干路	60.50192314
3528	科技县	次干路	30.89837338
3529	10县区	快速路	85.53718234
3530	科技县	快速路	91.52099451
3531	科技县	主干路	53.28455411
3532	11县区	支路	21.93804098
3533	09县区	次干路	36.12912302
3534	10县区	主干路	60.77597415
3535	科技县	快速路	112.3325929
3536	科技县	主干路	73.59141174
3537	09县区	支路	25.78963838
3538	09县区	快速路	107.1044437
3539	11县区	快速路	102.1631385
3540	11县区	快速路	105.4042243
3541	11县区	主干路	71.45142256
3542	09县区	支路	29.26006103
3543	科技县	支路	29.29087345
3544	11县区	支路	20.73750083
3545	10县区	次干路	34.50999744
3546	10县区	次干路	30.54286695
3547	11县区	支路	26.33256312
3548	11县区	支路	24.05345212
3549	10县区	快速路	108.6938294
3550	11县区	支路	24.31073151
3551	科技县	次干路	35.30323906
3552	10县区	快速路	81.85150994
3553	11县区	次干路	48.78957203
3554	10县区	快速路	95.97431876
3555	科技县	支路	26.58292513
3556	科技县	快速路	86.16318229
3557	10县区	次干路	48.04119768
3558	科技县	快速路	112.9972279
3559	09县区	主干路	79.16061947
3560	11县区	次干路	47.0888752
3561	科技县	支路	29.074296
3562	10县区	次干路	48.2781214
3563	09县区	次干路	33.42274912
3564	10县区	支路	24.70644764
3565	10县区	主干路	73.95348354
3566	10县区	次干路	31.7826005
3567	科技县	主干路	59.41401013
3568	10县区	次干路	48.08075993
3569	09县区	快速路	83.57958789
3570	11县区	主干路	55.45632121
3571	09县区	快速路	114.9312732
3572	科技县	快速路	117.9564026
3573	11县区	支路	26.46762305
3574	科技县	支路	23.41552887
3575	科技县	快速路	90.95341183
3576	11县区	次干路	47.18396368
3577	11县区	主干路	78.13914177
3578	10县区	主干路	65.35596283
3579	科技县	主干路	72.69666509
3580	11县区	快速路	94.81235626
3581	09县区	主干路	70.87262971
3582	11县区	支路	26.99418329
3583	09县区	支路	26.12743042
3584	科技县	支路	23.83640357
3585	09县区	主干路	51.72763176
3586	09县区	次干路	45.54780753
3587	科技县	快速路	119.8866429
3588	11县区	主干路	63.46567562
3589	09县区	主干路	64.37367376
3590	10县区	次干路	45.94366771
3591	10县区	支路	24.56924031
3592	09县区	次干路	46.82245052
3593	科技县	快速路	80.54998585
3594	11县区	快速路	109.0709596
3595	09县区	快速路	89.40540604
3596	11县区	快速路	83.50515789
3597	11县区	支路	22.43834701
3598	10县区	主干路	58.07793304
3599	09县区	次干路	37.05290397
3600	10县区	支路	26.84327292
3601	11县区	支路	25.81988929
3602	11县区	快速路	81.98064057
3603	11县区	主干路	75.70584066
3604	10县区	快速路	106.7514324
3605	科技县	快速路	119.1578625
3606	10县区	支路	28.54931848
3607	科技县	支路	22.94722518
3608	11县区	快速路	106.7840351
3609	10县区	主干路	55.61686052
3610	09县区	次干路	38.40759127
3611	11县区	支路	22.65351237
3612	10县区	支路	28.4122303
3613	09县区	快速路	103.6973717
3614	11县区	主干路	71.84772116
3615	11县区	主干路	75.78033254
3616	11县区	次干路	37.2854832
3617	11县区	支路	25.35630101
3618	科技县	支路	25.12267834
3619	10县区	次干路	46.51289838
3620	11县区	主干路	60.24531043
3621	09县区	主干路	73.76340106
3622	11县区	主干路	73.3497162
3623	11县区	快速路	97.78972804
3624	11县区	次干路	39.30463296
3625	09县区	支路	25.91298275
3626	10县区	主干路	77.253752
3627	11县区	支路	28.55674483
3628	10县区	支路	29.53643829
3629	11县区	支路	22.73211356
3630	10县区	快速路	109.1449347
3631	11县区	快速路	102.118046
3632	11县区	快速路	87.9079911
3633	11县区	快速路	98.8174939
3634	11县区	快速路	114.5912741
3635	10县区	支路	22.04660679
3636	科技县	次干路	34.5170987
3637	科技县	支路	28.66606872
3638	11县区	次干路	42.54010961
3639	09县区	快速路	102.792358
3640	11县区	支路	26.64661037
3641	科技县	快速路	108.184935
3642	10县区	快速路	84.34742812
3643	09县区	次干路	31.57453982
3644	09县区	次干路	37.75181864
3645	09县区	次干路	38.61829978
3646	10县区	支路	26.78881152
3647	11县区	支路	24.68373224
3648	科技县	次干路	48.85526414
3649	11县区	主干路	72.81739116
3650	10县区	次干路	37.45810194
3651	09县区	支路	26.37315383
3652	09县区	主干路	60.33030636
3653	10县区	快速路	99.87350128
3654	11县区	支路	27.8237862
3655	科技县	次干路	49.09549846
3656	10县区	支路	22.35615401
3657	11县区	支路	24.47449325
3658	科技县	快速路	106.8015419
3659	09县区	支路	21.44784609
3660	11县区	主干路	68.54961186
3661	科技县	支路	27.15416649
3662	10县区	次干路	37.51911996
3663	10县区	次干路	46.18000966
3664	09县区	快速路	91.24800896
3665	09县区	主干路	66.57992352
3666	09县区	次干路	49.58684428
3667	科技县	支路	21.53668987
3668	科技县	次干路	32.11311432
3669	11县区	次干路	33.30091235
3670	科技县	快速路	105.413834
3671	09县区	次干路	45.23635005
3672	科技县	快速路	101.0012008
3673	科技县	主干路	57.80243579
3674	09县区	主干路	59.22113103
3675	09县区	快速路	112.1673458
3676	科技县	快速路	116.3747132
3677	10县区	快速路	94.92378766
3678	11县区	主干路	72.39656759
3679	11县区	支路	26.21706428
3680	09县区	快速路	84.44362126
3681	09县区	主干路	70.62360989
3682	09县区	次干路	41.84383061
3683	10县区	快速路	100.1888138
3684	11县区	主干路	59.4553959
3685	10县区	次干路	33.72406726
3686	11县区	主干路	73.98099427
3687	10县区	快速路	80.94521232
3688	09县区	次干路	39.65529323
3689	09县区	主干路	65.90583735
3690	10县区	次干路	41.58367961
3691	11县区	次干路	32.67698628
3692	11县区	主干路	60.09499299
3693	科技县	快速路	105.2204124
3694	11县区	次干路	34.56352533
3695	11县区	支路	25.216989
3696	11县区	快速路	81.37990528
3697	10县区	快速路	115.3686214
3698	09县区	次干路	47.8304875
3699	09县区	次干路	44.93880543
3700	10县区	次干路	48.19160284
3701	11县区	次干路	35.79483302
3702	09县区	次干路	48.29807299
3703	10县区	次干路	32.49249133
3704	科技县	次干路	37.26765343
3705	09县区	快速路	116.2790862
3706	11县区	主干路	78.2619074
3707	11县区	次干路	31.98283844
3708	09县区	主干路	71.03303652
3709	09县区	主干路	69.84048688
3710	10县区	支路	20.9343983
3711	09县区	次干路	38.81000527
3712	11县区	次干路	45.77950596
3713	科技县	次干路	44.5737327
3714	10县区	主干路	57.81517568
3715	09县区	支路	29.84765165
3716	11县区	次干路	34.0722061
3717	09县区	快速路	113.8662287
3718	09县区	主干路	70.17247458
3719	10县区	快速路	117.2183519
3720	11县区	主干路	62.50681627
3721	09县区	次干路	43.28845601
3722	10县区	支路	25.56961672
3723	11县区	快速路	88.3517046
3724	11县区	主干路	58.54117022
3725	10县区	次干路	32.20630974
3726	10县区	主干路	55.65151354
3727	11县区	主干路	76.24013203
3728	10县区	主干路	71.33613045
3729	10县区	次干路	37.64630332
3730	11县区	快速路	104.1435858
3731	11县区	次干路	37.90413636
3732	科技县	次干路	48.23637053
3733	09县区	主干路	60.68851251
3734	09县区	主干路	50.85275781
3735	10县区	次干路	47.66155665
3736	09县区	支路	20.51028912
3737	09县区	次干路	31.36632883
3738	11县区	次干路	48.00339198
3739	11县区	支路	20.28914293
3740	09县区	支路	27.83931599
3741	11县区	次干路	41.12730663
3742	科技县	支路	24.92541841
3743	11县区	快速路	90.16345215
3744	10县区	主干路	60.10992335
3745	09县区	主干路	54.89052293
